"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"B11M-1-16s-duplicate_S57_L001_R1",81457,51969,45727,48386,30934,29514
"B11N-1-16s-duplicate_S58_L001_R1",69984,45207,39570,41538,26491,25429
"B11N-2-16s_S72_L001_R1",86436,57108,50938,52921,36004,34287
"B11S-1-16s_S73_L001_R1",66903,44481,38767,41107,26510,25331
"B11S-2-16s_S74_L001_R1",72382,49087,43342,45622,30011,28761
"Dust-13-16s_S47_L001_R1",34828,22541,19669,20420,13723,12924
"Dust-14-16s_S48_L001_R1",70844,46254,41281,43147,29679,28282
"Dust-16-16s_S50_L001_R1",95916,62934,56814,59046,42208,39260
"Dust-17-16s_S51_L001_R1",67674,43372,38332,40152,26110,24910
"Dust-19-16s_S53_L001_R1",87927,56991,51273,53588,38102,35640
"Dust-20-16s_S54_L001_R1",74950,48722,43877,45869,32454,30541
"Dust-21-16s_S55_L001_R1",77165,51566,47585,49097,37420,34747
"Dust-22-16s_S56_L001_R1",92803,61345,56050,58170,43495,39537
