;Clay;Sand;Silt;NO3-N;NH4-N;C
B11M-1-16s-duplicate_S57_L001_R1_001.fastq.gz_1.filtered.fastq.gz;2;90;8;14.93;12.07;0.4
B11N-1-16s-duplicate_S58_L001_R1_001.fastq.gz_1.filtered.fastq.gz;2;93;5;13.07;10.04;0.2
B11N-2-16s_S72_L001_R1_001.fastq.gz_1.filtered.fastq.gz;2;94;4;9.89;10.94;0.3
B11S-1-16s_S73_L001_R1_001.fastq.gz_1.filtered.fastq.gz;2;94;4;9.89;10.94;0.3
B11S-2-16s_S74_L001_R1_001.fastq.gz_1.filtered.fastq.gz;2;94;4;9.89;10.94;0.3
Dust-13-16s_S47_L001_R1_001.fastq.gz_1.filtered.fastq.gz;6;84;10;20.15;10.25;0.1
Dust-14-16s_S48_L001_R1_001.fastq.gz_1.filtered.fastq.gz;6;84;10;20.15;10.25;0.1
Dust-16-16s_S50_L001_R1_001.fastq.gz_1.filtered.fastq.gz;2;91;7;15.55;13.12;0.2
Dust-17-16s_S51_L001_R1_001.fastq.gz_1.filtered.fastq.gz;6;89;5;18.05;14.89;0.4
Dust-19-16s_S53_L001_R1_001.fastq.gz_1.filtered.fastq.gz;2;93;5;12.29;11.46;0.1
Dust-20-16s_S54_L001_R1_001.fastq.gz_1.filtered.fastq.gz;6;88;6;13.82;14.14;0.5
Dust-21-16s_S55_L001_R1_001.fastq.gz_1.filtered.fastq.gz;6;85;9;19.27;11.21;0.3
Dust-22-16s_S56_L001_R1_001.fastq.gz_1.filtered.fastq.gz;2;90;8;16.47;16.51;0.2
